Time	Line	ThreeST	2ST
0	E14tg2a	ESC	alpha
0	E14tg2a	ESC	alpha
0	E14tg2a	ESC	alpha
0	E14tg2a	ESC	alpha
0	E14tg2a	ESC	alpha
0	E14tg2a	ESC	alpha
0	E14tg2a	ESC	alpha
0	E14tg2a	ESC	alpha
0	E14tg2a	ESC	alpha
0	E14tg2a	ESC	alpha
0	E14tg2a	ESC	alpha
0	E14tg2a	ESC	alpha
0	E14tg2a	ESC	alpha
0	E14tg2a	ESC	alpha
0	E14tg2a	ESC	alpha
0	E14tg2a	ESC	alpha
0	E14tg2a	ESC	alpha
0	E14tg2a	ESC	alpha
0	E14tg2a	ESC	alpha
0	E14tg2a	ESC	alpha
0	E14tg2a	ESC	alpha
0	E14tg2a	ESC	alpha
0	E14tg2a	ESC	alpha
0	E14tg2a	ESC	alpha
0	E14tg2a	ESC	alpha
0	E14tg2a	ESC	alpha
0	E14tg2a	ESC	alpha
0	E14tg2a	ESC	alpha
0	E14tg2a	ESC	alpha
0	E14tg2a	ESC	alpha
0	E14tg2a	ESC	alpha
0	E14tg2a	ESC	alpha
0	E14tg2a	ESC	alpha
0	E14tg2a	ESC	alpha
0	E14tg2a	ESC	alpha
0	E14tg2a	ESC	alpha
0	E14tg2a	ESC	alpha
0	E14tg2a	ESC	alpha
0	R1	ESC	alpha
0	R1	ESC	alpha
0	R1	ESC	alpha
0	R1	ESC	alpha
0	R1	ESC	alpha
0	R1	ESC	alpha
0	R1	ESC	alpha
0	R1	ESC	alpha
0	R1	ESC	alpha
0	R1	ESC	alpha
0	R1	ESC	alpha
0	R1	ESC	alpha
0	R1	ESC	alpha
0	R1	ESC	alpha
0	R1	ESC	alpha
0	R1	ESC	alpha
0	R1	ESC	alpha
0	R1	ESC	alpha
0	R1	ESC	alpha
0	R1	ESC	alpha
0	R1	ESC	alpha
0	R1	ESC	alpha
0	R1	ESC	alpha
0	R1	ESC	alpha
0	R1	ESC	alpha
0	R1	ESC	alpha
0	R1	ESC	alpha
0	R1	ESC	alpha
0	R1	ESC	alpha
0	R1	ESC	alpha
0	R1	ESC	alpha
0	R1	ESC	alpha
24	E14tg2a	EPI	alpha
24	E14tg2a	EPI	alpha
24	E14tg2a	EPI	alpha
24	E14tg2a	EPI	alpha
24	E14tg2a	EPI	alpha
24	E14tg2a	EPI	alpha
24	E14tg2a	EPI	alpha
24	E14tg2a	EPI	alpha
24	E14tg2a	EPI	alpha
24	E14tg2a	EPI	alpha
24	E14tg2a	EPI	alpha
24	E14tg2a	ESC	alpha
24	E14tg2a	EPI	alpha
24	E14tg2a	EPI	alpha
24	E14tg2a	EPI	alpha
24	E14tg2a	ESC	alpha
24	E14tg2a	EPI	alpha
24	E14tg2a	EPI	alpha
24	E14tg2a	EPI	alpha
